162.159.198.1:443#麒麟优选 | 09-15 15:39 | BestCF.pages.dev
172.64.229.108:443#麒麟优选 | 电信 | 172.64.229.108 | 52.12ms | 60.84mb/s
104.18.60.41:443#麒麟优选 | 电信 | 104.18.60.41 | 156.40ms | 11.01mb/s
104.18.46.112:443#麒麟优选 | 电信 | 104.18.46.112 | 44.52ms | 10.70mb/s
172.64.156.15:443#麒麟优选 | 电信 | 172.64.156.15 | 44.49ms | 3.29mb/s
172.64.79.88:443#麒麟优选 | 电信 | 172.64.79.88 | 156.04ms | 0.98mb/s
104.19.7.30:443#麒麟优选 | 电信 | 104.19.7.30 | 157.00ms | 0.97mb/s
104.18.43.55:443#麒麟优选 | 电信 | 104.18.43.55 | 46.30ms | 0.71mb/s
172.64.149.188:443#麒麟优选 | 电信 | 172.64.149.188 | 46.39ms | 0.57mb/s
172.64.159.203:443#麒麟优选 | 电信 | 172.64.159.203 | 44.13ms | 0.46mb/s
104.18.44.158:443#麒麟优选 | 电信 | 104.18.44.158 | 44.26ms | 0.31mb/s
172.67.64.67:443#麒麟优选 | 联通 | 172.67.64.67 | 67.82ms | 15.11mb/s
162.159.133.77:443#麒麟优选 | 联通 | 162.159.133.77 | 66.76ms | 13.25mb/s
172.67.77.236:443#麒麟优选 | 联通 | 172.67.77.236 | 67.27ms | 12.43mb/s
104.26.5.252:443#麒麟优选 | 联通 | 104.26.5.252 | 67.70ms | 11.17mb/s
162.159.156.228:443#麒麟优选 | 联通 | 162.159.156.228 | 67.69ms | 9.55mb/s
104.20.17.165:443#麒麟优选 | 联通 | 104.20.17.165 | 67.97ms | 7.74mb/s
162.159.157.15:443#麒麟优选 | 联通 | 162.159.157.15 | 66.86ms | 6.46mb/s
162.159.149.227:443#麒麟优选 | 联通 | 162.159.149.227 | 66.35ms | 5.79mb/s
104.26.15.248:443#麒麟优选 | 联通 | 104.26.15.248 | 66.99ms | 4.56mb/s
104.20.24.16:443#麒麟优选 | 联通 | 104.20.24.16 | 67.23ms | 4.49mb/s
104.16.245.105:443#麒麟优选 | 移动 | 104.16.245.105 | 72.04ms | 0.21mb/s
104.17.125.56:443#麒麟优选 | 移动 | 104.17.125.56 | 73.41ms | 0.19mb/s
104.17.209.201:443#麒麟优选 | 移动 | 104.17.209.201 | 58.64ms | 0.19mb/s
104.17.215.62:443#麒麟优选 | 移动 | 104.17.215.62 | 66.03ms | 0.18mb/s
104.17.178.64:443#麒麟优选 | 移动 | 104.17.178.64 | 61.66ms | 0.15mb/s
104.17.154.19:443#麒麟优选 | 移动 | 104.17.154.19 | 76.92ms | 0.14mb/s
104.17.127.52:443#麒麟优选 | 移动 | 104.17.127.52 | 66.11ms | 0.13mb/s
104.17.169.177:443#麒麟优选 | 移动 | 104.17.169.177 | 76.83ms | 0.12mb/s
104.17.96.84:443#麒麟优选 | 移动 | 104.17.96.84 | 73.47ms | 0.12mb/s
104.17.148.132:443#麒麟优选 | 移动 | 104.17.148.132 | 69.37ms | 0.10mb/s
172.64.229.135:443#麒麟优选 | 多线 | 172.64.229.135 | 37.89ms | 14.90mb/s
172.64.159.188:443#麒麟优选 | 多线 | 172.64.159.188 | 67.16ms | 0.49mb/s
104.18.35.248:443#麒麟优选 | 多线 | 104.18.35.248 | 67.80ms | 0.25mb/s
172.64.158.145:443#麒麟优选 | 多线 | 172.64.158.145 | 67.97ms | 0.24mb/s
104.18.43.36:443#麒麟优选 | 多线 | 104.18.43.36 | 67.05ms | 0.21mb/s
172.64.149.20:443#麒麟优选 | 多线 | 172.64.149.20 | 69.30ms | 0.19mb/s
172.64.153.160:443#麒麟优选 | 多线 | 172.64.153.160 | 69.13ms | 0.16mb/s
172.64.157.71:443#麒麟优选 | 多线 | 172.64.157.71 | 69.65ms | 0.16mb/s
104.18.46.129:443#麒麟优选 | 多线 | 104.18.46.129 | 67.00ms | 0.16mb/s
172.64.156.103:443#麒麟优选 | 多线 | 172.64.156.103 | 69.80ms | 0.15mb/s
162.159.197.1:443#麒麟优选 | 分享免费优选网 BestCF.pages.dev
